price,volume,time,buyorsell,marketorlimit,misc,unixtime
34.68999,0.01000000,2014-01-13 21:45:08,b,l,,1389667508.7
34.68999,0.01507000,2014-01-13 23:06:11,b,l,,1389672371.48
34.25000,0.50000000,2014-01-13 23:53:36,s,m,,1389675216.03
34.25000,0.50000000,2014-01-13 23:54:39,s,l,,1389675279.62
34.68000,0.01000000,2014-01-14 00:39:36,b,m,,1389677976.23
34.68000,0.05000000,2014-01-14 01:35:42,b,m,,1389681342.28
34.25000,0.07500000,2014-01-14 01:49:53,s,l,,1389682193.74
34.25000,0.13500000,2014-01-14 01:59:32,s,l,,1389682772.89
34.39000,0.03210390,2014-01-14 02:07:04,b,m,,1389683224.9
34.39000,0.10525000,2014-01-14 02:17:54,b,l,,1389683874.3
34.39000,0.04000000,2014-01-14 02:17:55,s,l,,1389683875.77
34.39000,0.00271328,2014-01-14 02:18:15,s,l,,1389683895.1
34.25000,0.04500000,2014-01-14 02:29:53,s,l,,1389684593.97
34.25000,0.19930000,2014-01-14 02:45:58,s,l,,1389685558.48
34.25000,0.42500000,2014-01-14 02:48:58,s,l,,1389685738.67
34.25000,0.43000000,2014-01-14 02:49:11,s,l,,1389685751.52
34.25000,0.12500000,2014-01-14 02:49:24,s,l,,1389685764.57
34.39000,0.15704000,2014-01-14 02:57:52,b,l,,1389686272.17
34.25000,0.00774686,2014-01-14 03:19:51,s,l,,1389687591.43
34.15000,0.12788000,2014-01-14 03:20:05,s,m,,1389687605.81
34.18000,0.10116000,2014-01-14 03:54:35,b,l,,1389689675.69
34.18000,0.00084000,2014-01-14 03:54:51,s,l,,1389689691.67
34.17000,0.04001000,2014-01-14 03:54:59,b,l,,1389689699.24
34.16000,0.03002000,2014-01-14 03:55:12,b,l,,1389689712.02
34.17000,0.02501000,2014-01-14 03:55:25,b,l,,1389689725.46
34.52000,0.02896871,2014-01-14 04:17:30,b,l,,1389691050.05
34.52000,0.14484356,2014-01-14 04:18:22,b,l,,1389691103.0
34.52000,0.11587485,2014-01-14 04:23:33,b,l,,1389691413.99
34.17000,0.03010000,2014-01-14 04:26:19,s,l,,1389691579.85
34.17000,0.06005000,2014-01-14 04:26:21,b,l,,1389691581.11
